order_id;product_id;product_id_valid;product_name;category;supplier_name;quantity;unit_price;total_amount_corrected;currency;order_date;delivery_date;country;city;postal_code;order_status;payment_method;warehouse_code;lead_time_days;discount_pct;customer_email;customer_rating
ORD-000955;PRD-0017;t;Protein Powder 2kg;Apparel;Global Cargo Ltda;177.00;2222.12;393315.24;USD;3/02/2023;15/03/2023;Brasil;SÃ£o Paulo;;Returned;PayPal;WH-BOG-01;42.00;34.10;luis.p@gmail.com;3.90
ORD-000956;PRD-0011;t;Mechanical Keyboard;Industrial;FastShip Colombia;94.00;2128.09;200040.46;MXN;8/09/2023;15/10/2023;Brasil;Rio de Janeiro;;Returned;Cash;WH-MED-02;33.00;13.30;ana.m@company.co;1.80
ORD-000957;PRD-0009;t;LED Strip 5m;Personal Care;Global Cargo Ltda;406.00;1887.53;766337.18;COP;20/05/2024;25/06/2024;Brasil;Rio de Janeiro;;In Transit;Bank Transfer;WH-BOG-01;44.00;16.80;ana.m@yahoo.com;2.40
ORD-000958;PRD-0007;t;Laptop Pro 15;Apparel;Logistics Pro S.A.;92.00;565.03;51982.76;MXN;22/07/2022;2/08/2022;Mexico;Monterrey;;Pending;PayPal;WH-CAL-03;26.00;19.70;carlos.r@gmail.com;1.70
ORD-000959;PRD-0012;t;Mechanical Keyboard;Food & Beverage;FastShip Colombia;45.00;211.75;9528.75;USD;27/12/2023;26/01/2024;Peru;Lima;;Unknown;Bank Transfer;WH-SCL-05;40.00;39.10;ana.m@company.co;3.30
ORD-000001;PROD-001;f;Safety Gloves L;Personal Care;FastShip Colombia;309.00;1323.05;408822.45;COP;8/07/2024;7/09/2024;Peru;Lima;;Delivered;Credit Card;WH-CAL-03;35.00;3.20;john.d@yahoo.com;2.20
ORD-000002;PRD-0007;t;Running Shoes M;Food & Beverage;Logistics Pro S.A.;195.00;552.94;107823.30;USD;15/04/2023;11/05/2023;Mexico;Monterrey;;Cancelled;PayPal;WH-SCL-05;28.00;8.80;carlos.r@gmail.com;3.70
ORD-000003;PRD-0039;t;Protein Powder 2kg;Electronics;Pacific Trade SAS;81.00;662.16;53634.96;USD;4/09/2023;17/09/2023;Mexico;Monterrey;;Cancelled;Unknown;WH-CAL-03;37.00;19.40;maria.g@yahoo.com;3.10
ORD-000004;PRD-0035;t;Mechanical Keyboard;Food & Beverage;Logistics Pro S.A.;302.00;576.21;174015.42;USD;18/11/2024;2/12/2024;Chile;Santiago;;In Transit;PayPal;WH-BOG-01;7.00;32.00;luis.p@company.co;4.50
ORD-000005;PRD-0036;t;Office Chair Ergonomic;Electronics;FastShip Colombia;85.00;1961.26;166707.10;BRL;14/11/2022;18/11/2022;Chile;ValparaÃ­so;;Returned;Credit Card;WH-BOG-01;8.00;23.20;;2.60
ORD-000006;PRD-0021;t;Office Chair Ergonomic;Electronics;Andean Freight Co.;36.00;2085.19;75066.84;USD;6/09/2023;2/11/2023;Colombia;Cali;;Returned;Cash;WH-CAL-03;4.00;11.10;;4.80
ORD-000007;PRD-0003;t;Industrial Drill;Food & Beverage;Logistics Pro S.A.;400.00;1874.95;749980.00;COP;29/12/2022;;Brasil;Rio de Janeiro;;In Transit;Credit Card;WH-LIM-04;30.00;34.90;ana.m@outlook.com;2.40
ORD-000008;PRD-0035;t;Industrial Drill;Apparel;Logistics Pro S.A.;311.00;479.25;149046.75;COP;16/01/2024;15/03/2024;Brasil;SÃ£o Paulo;;Pending;Cash;WH-MED-02;25.00;24.60;carlos.r@outlook.com;3.60
ORD-000009;PRD-0014;t;Solar Panel 250W;Apparel;Pacific Trade SAS;116.00;2459.92;285350.72;BRL;28/04/2024;13/06/2024;Peru;Lima;;Unknown;Credit Card;WH-SCL-05;8.00;26.70;ana.m@company.co;4.00
ORD-000011;PRD-0038;t;Bluetooth Speaker;Industrial;Global Cargo Ltda;386.00;1178.42;454870.12;MXN;5/04/2023;17/05/2023;Mexico;Ciudad de MÃ©xico;;Cancelled;Bank Transfer;WH-CAL-03;8.00;12.40;luis.p@company.co;3.80
ORD-000012;PRD-0050;t;Coffee Maker 12cup;Personal Care;Andean Freight Co.;259.00;908.66;235342.94;BRL;10/11/2022;22/12/2022;Chile;ValparaÃ­so;;Pending;Bank Transfer;WH-LIM-04;40.00;19.80;john.d@outlook.com;2.10
ORD-000013;PRD-0004;t;Coffee Maker 12cup;Industrial;Logistics Pro S.A.;128.00;1977.90;253171.20;BRL;25/06/2024;23/07/2024;Chile;ConcepciÃ³n;;Delivered;Bank Transfer;WH-LIM-04;19.00;11.30;maria.g@outlook.com;4.70
ORD-000014;PRD-0042;t;Wireless Headset;Apparel;Pacific Trade SAS;207.00;205.70;42579.90;MXN;22/02/2022;17/04/2022;Colombia;Cali;;In Transit;PayPal;WH-SCL-05;6.00;12.80;ana.m@company.co;3.20
ORD-000015;PRD-0021;t;Office Chair Ergonomic;Electronics;Andean Freight Co.;227.00;2319.54;526535.58;USD;3/01/2022;17/03/2022;Brasil;BrasÃ­lia;;Delivered;Credit Card;WH-CAL-03;31.00;22.10;luis.p@yahoo.com;2.70
ORD-000016;PRD-0001;t;Coffee Maker 12cup;Industrial;Andean Freight Co.;165.00;960.51;158484.15;MXN;26/08/2024;20/09/2024;Mexico;Ciudad de MÃ©xico;;Pending;PayPal;WH-BOG-01;42.00;31.30;ana.m@gmail.com;2.50
ORD-000017;PRD-0049;t;Protein Powder 2kg;Electronics;Global Cargo Ltda;325.00;752.17;244455.25;MXN;7/02/2024;3/05/2024;Mexico;Ciudad de MÃ©xico;;In Transit;Bank Transfer;WH-LIM-04;23.00;27.10;john.d@outlook.com;4.40
ORD-000018;PRD-0031;t;Office Chair Ergonomic;Food & Beverage;FastShip Colombia;382.00;2082.93;795679.26;COP;23/12/2023;1/09/2024;Mexico;Monterrey;;Cancelled;Cash;WH-CAL-03;13.00;38.90;maria.g@outlook.com;2.20
ORD-000019;PRD-0030;t;Office Chair Ergonomic;Industrial;Global Cargo Ltda;189.00;2056.93;388759.77;COP;23/08/2024;;Chile;Santiago;;Pending;Credit Card;WH-CAL-03;16.00;18.10;luis.p@company.co;3.60
ORD-000020;PRD-0018;t;Laptop Pro 15;Apparel;Global Cargo Ltda;98.00;233.73;22905.54;USD;14/04/2022;23/04/2022;Colombia;Cali;;In Transit;Bank Transfer;WH-CAL-03;9.00;4.40;john.d@yahoo.com;3.00
ORD-000021;PRD-0008;t;Mechanical Keyboard;Personal Care;Pacific Trade SAS;235.00;2119.01;497967.35;BRL;31/05/2022;10/06/2022;Brasil;BrasÃ­lia;;Returned;PayPal;WH-BOG-01;36.00;18.10;ana.m@company.co;3.70
ORD-000022;PRD-0031;t;Office Chair Ergonomic;Food & Beverage;Pacific Trade SAS;448.00;1804.05;808214.40;MXN;1/08/2022;13/09/2022;Colombia;Cali;;Returned;PayPal;WH-SCL-05;2.00;27.70;;1.30
ORD-000023;PRD-0006;t;Mechanical Keyboard;Apparel;Pacific Trade SAS;26.00;1216.73;31634.98;USD;8/12/2023;21/01/2024;Chile;Santiago;;Delivered;Unknown;WH-MED-02;8.00;20.40;sofia.v@yahoo.com;1.30
ORD-000024;PRD-9999;t;Protein Powder 2kg;Personal Care;Global Cargo Ltda;259.00;1725.58;446925.22;BRL;5/08/2022;8/09/2022;Brasil;SÃ£o Paulo;;Returned;Bank Transfer;WH-MED-02;13.00;30.40;sofia.v@company.co;3.70
ORD-000025;PRD-0040;t;Industrial Drill;Electronics;Global Cargo Ltda;20.00;2161.30;43226.00;BRL;5/08/2024;22/09/2024;Chile;ValparaÃ­so;;Delivered;Cash;WH-MED-02;29.00;14.60;john.d@gmail.com;1.40
ORD-000026;PRD-0047;t;LED Strip 5m;Electronics;Global Cargo Ltda;363.00;1980.20;718812.60;USD;17/05/2024;;Mexico;Guadalajara;;In Transit;Bank Transfer;WH-BOG-01;34.00;30.70;maria.g@yahoo.com;1.70
ORD-000027;PRD-0044;t;Mechanical Keyboard;Industrial;Andean Freight Co.;226.00;1321.01;298548.26;COP;28/05/2023;21/06/2023;Chile;ValparaÃ­so;;Cancelled;Bank Transfer;WH-MED-02;2.00;15.00;maria.g@gmail.com;2.30
ORD-000028;P-123;f;Mechanical Keyboard;Personal Care;FastShip Colombia;259.00;1321.79;342343.61;MXN;5/02/2023;29/05/2023;Peru;Peru;;Returned;Bank Transfer;Unknown;12.00;39.00;luis.p@gmail.com;4.90
ORD-000029;PRD-9999;t;Industrial Drill;Personal Care;Logistics Pro S.A.;351.00;2029.69;712421.19;BRL;17/03/2022;30/03/2022;Brasil;BrasÃ­lia;;In Transit;Credit Card;WH-BOG-01;26.00;15.50;ana.m@outlook.com;3.90
ORD-000030;PRD-0012;t;Solar Panel 250W;Food & Beverage;Andean Freight Co.;467.00;2450.17;1144229.39;BRL;15/01/2024;26/01/2024;Chile;ValparaÃ­so;;Delivered;Cash;WH-BOG-01;24.00;23.00;sofia.v@outlook.com;3.00
ORD-000031;PRD-0017;t;Coffee Maker 12cup;Industrial;Logistics Pro S.A.;350.00;1775.30;621355.00;MXN;19/11/2022;30/12/2022;Chile;Santiago;;Cancelled;Unknown;WH-SCL-05;5.00;28.80;luis.p@gmail.com;2.90
ORD-000032;PRD-0050;t;Solar Panel 250W;Industrial;Logistics Pro S.A.;116.00;2115.60;245409.60;MXN;14/09/2022;20/09/2022;Mexico;Monterrey;;Returned;Credit Card;WH-BOG-01;17.00;16.70;sofia.v@outlook.com;4.20
ORD-000033;PRD-0045;t;Laptop Pro 15;Food & Beverage;Global Cargo Ltda;190.00;310.69;59031.10;USD;18/08/2023;14/09/2023;Brasil;BrasÃ­lia;;Cancelled;PayPal;WH-BOG-01;30.00;14.10;sofia.v@company.co;3.00
ORD-000034;PRD-0047;t;Solar Panel 250W;Industrial;Logistics Pro S.A.;456.00;1323.05;603310.80;USD;17/05/2023;1/06/2023;Colombia;Colombia;;Pending;Bank Transfer;WH-LIM-04;38.00;25.00;john.d@company.co;1.60
ORD-000035;P-123;f;Coffee Maker 12cup;Personal Care;Andean Freight Co.;76.00;1752.80;133212.80;BRL;7/11/2022;10/12/2022;Colombia;Cali;;Cancelled;Cash;WH-SCL-05;44.00;24.40;luis.p@outlook.com;2.20
ORD-000036;PRD-0021;t;Protein Powder 2kg;Food & Beverage;Pacific Trade SAS;412.00;202.18;83298.16;BRL;15/03/2023;14/05/2023;Brasil;Brasil;;Returned;Bank Transfer;WH-LIM-04;1.00;6.30;ana.m@company.co;2.10
ORD-000037;PRD-0042;t;Bluetooth Speaker;Electronics;FastShip Colombia;96.00;2192.47;210477.12;MXN;6/08/2023;9/09/2023;Chile;Santiago;;Cancelled;Bank Transfer;WH-444;13.00;35.90;carlos.r@company.co;2.30
ORD-000038;PRD-0016;t;Protein Powder 2kg;Personal Care;Logistics Pro S.A.;158.00;2220.06;350769.48;MXN;23/01/2024;1/02/2024;Peru;Cusco;;Cancelled;Bank Transfer;WH-SCL-05;29.00;36.70;luis.p@yahoo.com;3.10
ORD-000039;PRD-0038;t;Protein Powder 2kg;Industrial;Pacific Trade SAS;203.00;296110.96;60110524.88;USD;4/05/2022;3/07/2022;Brasil;SÃ£o Paulo;;Cancelled;PayPal;WH-LIM-04;43.00;34.40;ana.m@yahoo.com;3.00
ORD-000040;PRD-0031;t;Safety Gloves L;Industrial;Andean Freight Co.;332.00;1341.41;445348.12;BRL;22/03/2022;5/10/2022;Chile;Santiago;;Delivered;Bank Transfer;WH-LIM-04;14.00;12.90;sofia.v@outlook.com;2.90
ORD-000042;PRD-0032;t;Laptop Pro 15;Unknown;Global Cargo Ltda;466.00;606.22;282498.52;MXN;2/07/2023;28/07/2023;Mexico;Ciudad de MÃ©xico;;Delivered;Credit Card;WH-SCL-05;45.00;17.40;carlos.r@gmail.com;3.30
ORD-000043;PRD-0044;t;Coffee Maker 12cup;Food & Beverage;Andean Freight Co.;204.00;1418.91;289457.64;MXN;26/02/2024;11/04/2024;Chile;ValparaÃ­so;;Cancelled;Credit Card;WH-SCL-05;2.00;18.00;ana.m@company.co;4.10
ORD-000044;PRD-0005;t;Office Chair Ergonomic;Apparel;Logistics Pro S.A.;53.00;1389.08;73621.24;USD;10/07/2022;4/09/2022;Brasil;SÃ£o Paulo;;In Transit;Bank Transfer;WH-CAL-03;5.00;12.00;maria.g@company.co;2.20
ORD-000045;PRD-0040;t;Running Shoes M;Personal Care;FastShip Colombia;377.00;609.85;229913.45;BRL;18/01/2024;25/02/2024;Chile;ConcepciÃ³n;;Delivered;PayPal;WH-CAL-03;28.00;39.60;luis.p@company.co;4.60
ORD-000046;PRD-0006;t;Office Chair Ergonomic;Personal Care;FastShip Colombia;55.00;1323.05;72767.75;COP;1/07/2024;14/08/2024;Chile;Santiago;;Delivered;Bank Transfer;WH-MED-02;7.00;12.80;carlos.r@gmail.com;1.70
ORD-000047;PRD-0012;t;Solar Panel 250W;Apparel;FastShip Colombia;102.00;1323.05;134951.10;MXN;9/05/2022;13/06/2022;Brasil;SÃ£o Paulo;;Returned;Cash;WH-SCL-05;30.00;28.20;carlos.r@yahoo.com;2.50
ORD-000048;PRD-0039;t;Wireless Headset;Personal Care;FastShip Colombia;231.00;1214.10;280457.10;BRL;17/04/2024;10/06/2024;Mexico;Ciudad de MÃ©xico;;Returned;PayPal;WH-LIM-04;8.00;39.60;sofia.v@company.co;4.30
ORD-000049;PRD-0003;t;Protein Powder 2kg;Electronics;Pacific Trade SAS;316.00;153.10;48379.60;COP;25/10/2023;1/12/2023;Colombia;MedellÃ­n;;In Transit;Bank Transfer;WH-MED-02;32.00;25.10;carlos.r@company.co;2.50
ORD-000050;PRD-0001;t;Mechanical Keyboard;Food & Beverage;Andean Freight Co.;425.00;2131.79;906010.75;USD;5/04/2022;5/05/2022;Mexico;Ciudad de MÃ©xico;;In Transit;Cash;WH-CAL-03;6.00;6.60;sofia.v@yahoo.com;1.90
ORD-000051;PRD-0034;t;LED Strip 5m;Food & Beverage;Andean Freight Co.;413.00;347.14;143368.82;COP;20/10/2022;29/11/2022;Peru;Lima;;Cancelled;PayPal;WH-BOG-01;25.00;31.60;maria.g@outlook.com;3.60
ORD-000052;PRD-0033;t;Safety Gloves L;Apparel;Andean Freight Co.;259.00;2098.24;543444.16;COP;22/08/2024;24/08/2024;Colombia;BogotÃ¡;;Cancelled;PayPal;WH-SCL-05;6.00;8.10;ana.m@gmail.com;2.00
ORD-000053;PRD-0008;t;Protein Powder 2kg;Electronics;Logistics Pro S.A.;75064.00;1803.31;135363661.84;MXN;30/08/2022;;Brasil;Rio de Janeiro;;Delivered;Cash;WH-MED-02;7.00;4.60;;3.00
ORD-000054;PRD-0012;t;Laptop Pro 15;Industrial;Global Cargo Ltda;462.00;119.59;55250.58;MXN;29/09/2023;30/09/2023;Brasil;Rio de Janeiro;;Pending;PayPal;WH-SCL-05;1.00;21.70;carlos.r@outlook.com;3.00
ORD-000055;PRD-0007;t;Safety Gloves L;Electronics;Global Cargo Ltda;359.00;1454.02;521993.18;BRL;3/06/2022;16/07/2022;Brasil;Rio de Janeiro;;Pending;Cash;WH-MED-02;10.00;12.60;maria.g@company.co;1.60
ORD-000056;PRD-0045;t;Bluetooth Speaker;Electronics;Andean Freight Co.;16.00;1377.55;22040.80;COP;6/09/2022;;Mexico;Guadalajara;;Delivered;Cash;WH-BOG-01;9.00;32.40;carlos.r@yahoo.com;3.00
ORD-000057;PRD-0023;t;Safety Gloves L;Apparel;Andean Freight Co.;246.00;502.65;123651.90;USD;23/02/2024;29/03/2024;Chile;ValparaÃ­so;;Returned;Cash;WH-SCL-05;15.00;26.30;sofia.v@gmail.com;4.90
ORD-000058;PRD-0012;t;Wireless Headset;Food & Beverage;Unknown;289.00;2426.12;701148.68;USD;4/07/2022;6/07/2022;Colombia;Cali;;In Transit;Cash;WH-MED-02;24.00;37.70;john.d@outlook.com;4.20
ORD-000059;PRD-0012;t;Mechanical Keyboard;Food & Beverage;FastShip Colombia;1.00;2485.74;2485.74;MXN;29/03/2023;30/04/2023;Colombia;MedellÃ­n;;Delivered;Cash;WH-MED-02;7.00;17.50;ana.m@company.co;4.30
ORD-000060;PRD-0049;t;LED Strip 5m;Electronics;Logistics Pro S.A.;281.00;2463.26;692176.06;BRL;4/12/2022;8/12/2022;Mexico;Guadalajara;;Returned;Cash;WH-LIM-04;10.00;20.40;sofia.v@company.co;2.20
ORD-000061;PRD-0020;t;Running Shoes M;Personal Care;Andean Freight Co.;116.00;1742.70;202153.20;BRL;11/04/2023;3/06/2023;Chile;ValparaÃ­so;;Pending;Credit Card;WH-SCL-05;8.00;38.00;maria.g@yahoo.com;1.80
ORD-000062;PRD-0039;t;Coffee Maker 12cup;Electronics;Global Cargo Ltda;259.00;285.73;74004.07;USD;5/08/2022;24/08/2022;Peru;Cusco;;Delivered;PayPal;WH-LIM-04;22.00;19.00;john.d@outlook.com;3.70
ORD-000063;PRD-0020;t;Mechanical Keyboard;Industrial;Andean Freight Co.;445.00;168.71;75075.95;USD;22/12/2022;14/02/2023;Colombia;MedellÃ­n;;Cancelled;Credit Card;WH-LIM-04;31.00;6.50;sofia.v@gmail.com;3.30
ORD-000064;PRD-0042;t;Safety Gloves L;Electronics;Logistics Pro S.A.;115.00;2417.73;278038.95;BRL;16/12/2023;5/01/2024;Chile;Santiago;;Delivered;Cash;WH-CAL-03;5.00;13.00;sofia.v@outlook.com;1.20
ORD-000065;PRD-0026;t;LED Strip 5m;Unknown;Andean Freight Co.;418.00;1338.91;559664.38;MXN;4/11/2024;17/12/2024;Brasil;Calle 759;;In Transit;Cash;WH-MED-02;22.00;18.60;sofia.v@gmail.com;3.70
ORD-000066;PRD-0010;t;Wireless Headset;Industrial;FastShip Colombia;325.00;1934.99;628871.75;USD;23/09/2022;19/10/2022;Peru;Calle 205;;Returned;Credit Card;WH-CAL-03;33.00;33.00;sofia.v@outlook.com;5.00
ORD-000067;PRD-0011;t;Running Shoes M;Apparel;FastShip Colombia;328.00;2486.73;815647.44;USD;9/04/2022;4/05/2022;Brasil;SÃ£o Paulo;;Delivered;Credit Card;WH-SCL-05;7.00;11.30;luis.p@yahoo.com;2.40
ORD-000068;PRD-0036;t;Protein Powder 2kg;Apparel;FastShip Colombia;77.00;1810.32;139394.64;BRL;30/08/2023;22/10/2023;Brasil;BrasÃ­lia;;Delivered;Credit Card;WH-240;23.00;10.70;john.d@yahoo.com;4.30
ORD-000069;PRD-0027;t;LED Strip 5m;Electronics;Logistics Pro S.A.;93.00;2157.13;200613.09;COP;16/09/2024;13/10/2024;Colombia;MedellÃ­n;;IN TRANSIT;Bank Transfer;WH-CAL-03;40.00;9.90;ana.m@yahoo.com;1.20
ORD-000070;PRD-0031;t;Protein Powder 2kg;Industrial;Global Cargo Ltda;121.00;224.61;27177.81;BRL;6/02/2022;14/03/2022;Colombia;Cali;;Returned;PayPal;WH-BOG-01;22.00;18.90;carlos.r@gmail.com;4.30
ORD-000071;PRD-0034;t;Industrial Drill;Apparel;Andean Freight Co.;202.00;848.14;171324.28;USD;11/07/2024;13/08/2024;Colombia;BogotÃ¡;;Returned;Bank Transfer;WH-MED-02;39.00;15.40;maria.g@outlook.com;4.20
ORD-000072;PRD-0048;t;Solar Panel 250W;Personal Care;Pacific Trade SAS;364.00;1737.31;632380.84;MXN;10/09/2024;26/10/2024;Chile;ValparaÃ­so;;Delivered;Credit Card;WH-MED-02;10.00;11.80;ana.m@gmail.com;1.90
ORD-000073;PRD-0033;t;Mechanical Keyboard;Industrial;Global Cargo Ltda;445.00;2279.16;1014226.20;COP;1/02/2023;17/03/2023;Mexico;Ciudad de MÃ©xico;;Returned;Bank Transfer;WH-CAL-03;3.00;2.00;sofia.v@outlook.com;4.10
ORD-000074;PRD-0012;t;Solar Panel 250W;Personal Care;FastShip Colombia;317.00;2452.93;777578.81;COP;23/03/2022;21/05/2022;Brasil;Rio de Janeiro;;Returned;Cash;WH-LIM-04;13.00;3.80;luis.p@gmail.com;1.90
ORD-000075;PRD-0014;t;Solar Panel 250W;Industrial;FastShip Colombia;92.00;572.98;52714.16;BRL;5/06/2024;13/06/2024;Chile;ConcepciÃ³n;;Returned;Cash;WH-LIM-04;2.00;5.50;luis.p@outlook.com;4.70
ORD-000076;PRD-0024;t;Laptop Pro 15;Electronics;Pacific Trade SAS;177.00;360.43;63796.11;MXN;2/02/2023;11/03/2023;Peru;Lima;;Delivered;PayPal;WH-MED-02;13.00;24.70;luis.p@outlook.com;2.30
ORD-000077;PRD-0042;t;Running Shoes M;Food & Beverage;Global Cargo Ltda;42.00;1348.85;56651.70;USD;4/06/2022;15/07/2022;Chile;ConcepciÃ³n;;Pending;PayPal;WH-LIM-04;19.00;3.60;;3.70
ORD-000078;PRD-0011;t;Wireless Headset;Apparel;Global Cargo Ltda;120.00;906.32;108758.40;USD;23/03/2022;5/08/2022;Brasil;Rio de Janeiro;;Cancelled;Cash;WH-BOG-01;15.00;34.70;luis.p@gmail.com;1.30
ORD-000079;PRD-0012;t;Wireless Headset;Apparel;Logistics Pro S.A.;427.00;1482.91;633202.57;COP;25/04/2022;29/05/2022;Chile;ConcepciÃ³n;;Delivered;PayPal;WH-LIM-04;12.00;6.70;luis.p@gmail.com;1.80
ORD-000080;PRD-0027;t;Wireless Headset;Personal Care;Andean Freight co.;67.00;1323.05;88644.35;BRL;5/12/2024;19/01/2025;Mexico;Guadalajara;;Returned;Credit Card;WH-MED-02;39.00;7.60;luis.p@gmail.com;4.20
ORD-000081;PRD-0028;t;LED Strip 5m;Personal Care;Andean Freight Co.;190.00;1446.24;274785.60;COP;1/09/2022;16/10/2022;Mexico;Guadalajara;;Delivered;Credit Card;WH-LIM-04;5.00;24.40;ana.m@outlook.com;4.30
ORD-000082;PRD-0013;t;LED Strip 5m;Personal Care;Pacific Trade SAS;259.00;886.05;229486.95;COP;26/11/2024;;Chile;ConcepciÃ³n;;Pending;Bank Transfer;WH-BOG-01;7.00;13.60;john.d@outlook.com;4.10
ORD-000083;PRD-0030;t;LED Strip 5m;Unknown;FastShip Colombia;265.00;721.79;191274.35;MXN;5/06/2022;26/06/2022;Chile;ConcepciÃ³n;;Cancelled;Bank Transfer;WH-MED-02;40.00;4.80;ana.m@gmail.com;2.90
ORD-000084;PRD-0037;t;Coffee Maker 12cup;Food & Beverage;FastShip Colombia;258.00;1145.70;295590.60;MXN;18/01/2022;;Colombia;Cali;;Pending;PayPal;WH-MED-02;45.00;16.00;luis.p@yahoo.com;3.20
ORD-000085;PRD-0048;t;Wireless Headset;Industrial;Pacific Trade SAS;440.00;154.79;68107.60;USD;10/07/2024;3/08/2024;Brasil;Rio de Janeiro;;Returned;Bank Transfer;WH-CAL-03;29.00;11.50;maria.g@outlook.com;4.60
ORD-000086;PRD-0021;t;Industrial Drill;Industrial;Global Cargo Ltda;438.00;1323.05;579495.90;USD;8/03/2023;13/03/2023;Colombia;MedellÃ­n;;Delivered;PayPal;WH-CAL-03;34.00;26.50;ana.m@company.co;2.80
ORD-000087;PRD-0012;t;Bluetooth Speaker;Personal Care;Pacific Trade SAS;227.00;31.34;7114.18;COP;6/12/2023;20/01/2024;Brasil;Calle 818;;Returned;PayPal;WH-MED-02;25.00;3.20;luis.p@outlook.com;2.70
ORD-000088;PRD-0019;t;Office Chair Ergonomic;Personal Care;FastShip Colombia;138.00;1323.05;182580.90;USD;7/10/2024;27/11/2024;Peru;Lima;;In Transit;PayPal;WH-MED-02;25.00;30.70;ana.m@yahoo.com;4.10
ORD-000089;PRD-0031;t;Running Shoes M;Electronics;Logistics Pro S.A.;443.00;1088.23;482085.89;BRL;13/05/2023;5/11/2023;Peru;Lima;;In Transit;Cash;WH-BOG-01;45.00;19.50;sofia.v@outlook.com;3.80
