order_id,product_id,product_name,category,supplier_name,quantity,unit_price,total_amount,currency,order_date,delivery_date,country,address,order_status,payment_method,warehouse_code,lead_time_days,discount_pct,customer_email,customer_rating
ORD-000023,PRD-0006,Mechanical Keyboard,Apparel,Pacific Trade SAS,26.0,1216.73,31634.98,USD,2023-12-08,2024-01-21,Chile,Santiago,Delivered,Unknown,WH-MED-02,8.0,20.4,sofia.v@yahoo.com,1.3
ORD-000024,PRD-9999,Protein Powder 2kg,Personal Care,Global Cargo Ltda,259.0,1725.58,,BRL,2022-08-05,2022-09-08,Brasil,São Paulo,Returned,Bank Transfer,WH-MED-02,13.0,30.4,sofia.v@company.co,3.7
ORD-000025,PRD-0040,Industrial Drill,Electronics,Global Cargo Ltda,20.0,2161.3,43226.0,BRL,2024-08-05,2024-09-22,Chile,Valparaíso,Delivered,Cash,WH-MED-02,29.0,14.6,john.d@gmail.com,1.4
ORD-000026,PRD-0047,LED Strip 5m,Electronics,Global Cargo Ltda,363.0,1980.2,718812.6,USD,2024-05-17,,Mexico,Guadalajara,In Transit,Bank Transfer,WH-BOG-01,34.0,30.7,maria.g@yahoo.com,1.7
ORD-000027,PRD-0044,Mechanical Keyboard,Industrial,Andean Freight Co.,226.0,1321.01,298548.26,COP,2023-05-28,2023-06-21,Chile,Valparaíso,Cancelled,Bank Transfer,WH-MED-02,2.0,15.0,maria.g@gmail.com,2.3
ORD-000028,P-123,Mechanical Keyboard,Personal Care,Fast Ship Colombia,259.0,1321.79,,MXN,2023-02-05,2023-05-29,Peru,"Peru, Arequipa, 15001",Returnned,Bank Transfer,Unknown,12.0,39.0,luis.p@gmail.com,4.9
ORD-000029,PRD-9999,Industrial Drill,Personal Care,Logistics Pro S.A.,351.0,2029.69,712421.19,BRL,2022-03-17,2022-03-30,Brasil,Brasília,In Transit,Credit Card,WH-BOG-01,26.0,15.5,ana.m@outlook.com,3.9
ORD-000030,PRD-0012,Solar Panel 250W,Food & Beverage,Andean Freight Co.,467.0,2450.17,1144229.39,BRL,2024-01-15,2024-01-26,Chile,Valparaíso,Deliverd,Cash,WH-BOG-01,24.0,23.0,sofia.v@outlook.com,3.0
ORD-000031,PRD-0017,Coffee Maker 12cup,Industrial,Logistics Pro S.A.,350.0,1775.3,621355.0,MXN,2022-11-19,2022-12-30,Chile,Santiago,Cancelled,Unknown,WH-SCL-05,5.0,28.8,luis.p@gmail.com,2.9
ORD-000032,PRD-0050,Solar Panel 250W,Industrial,Logistics Pro S.A.,116.0,2115.6,245409.6,MXN,2022-09-14,2022-09-20,Mexico,Monterrey,Returned,Credit Card,WH-BOG-01,17.0,16.7,sofia.v@outlook.com,4.2
ORD-000033,PRD-0045,Laptop Pro 15,Food & Beverage,Global Cargo Ltda,190.0,310.69,59031.1,USD,2023-08-18,2023-09-14,Brasil,Brasília,Cancelled,PayPal,WH-BOG-01,30.0,14.1,sofia.v@company.co,3.0
ORD-000034,PRD-0024,Running Shoes M,Apparel,Andean Freight Co.,349.0,936.13,326709.37,MXN,2022-10-23,2022-11-25,Colombia,Medellín/Colombia/110111,Returned,Cash,WH-CAL-03,33.0,12.0,sofia.v@gmail.com,3.9
ORD-000035,P-123,Coffee Maker 12cup,Personal Care,Andean Freight Co.,76.0,1752.8,133212.8,BRL,2022-11-07,2022-12-10,Colombia,Cali,Cancelled,Cash,WH-SCL-05,44.0,24.4,luis.p@outlook.com,2.2
ORD-000036,PRD-0021,Protein Powder 2kg,Food & Beverage,Pacific Trade SAS,412.0,202.18,83298.16,BRL,2023-03-15,2023-05-14,Brasil,"Brasil, Brasília, 01310-100",Returned,Bank Transfer,WH-LIM-04,1.0,6.3,ana.m@company.co,2.1
ORD-000037,PRD-0042,Bluetooth Speaker,Electronics,FastShip Colombia,96.0,2192.47,28398.53,MXN,2023-08-06,2023-09-09,Chile,Santiago,Cancelled,Bank Transfer,WH-444,13.0,35.9,carlos.r@company.co,2.3
ORD-000038,PRD-0016,Protein Powder 2kg,Personal Care,LOGISTICS PRO S.A.,158.0,2220.06,350769.48,MXN,2024-01-23,2024-02-01,Peru,Cusco,Cancelled,Bank Transfer,WH-SCL-05,29.0,36.7,luis.p@yahoo.com,3.1
ORD-000039,PRD-0038,Protein Powder 2kg,Industrial,Pacific Trade SAS,203.0,296110.96,60110524.88,USD,2022-05-04,2022-07-03,Brasil,São Paulo,Cancelled,PayPal,WH-LIM-04,43.0,34.4,ana.m@yahoo.com,3.0
ORD-000034,PRD-0047,Solar Panel 250W,Industrial,Logistics Pro S.A.,456.0,1323.045,-361667.28,USD,2023-05-17,2023-06-01,Colombia,"Colombia, Medellín, 110111",Pending,Bank Transfer,WH-LIM-04,38.0,25.0,john.d@company.co,1.6
ORD-000040,PRD-0031,Safety Gloves L,Industrial,Andean Freight Co.,332.0,1341.41,445348.12,BRL,2022-03-22,2022-10-05,Chile,Santiago,Delivered,Bank Transfer,WH-LIM-04,14.0,12.9,sofia.v@outlook.com,2.9
ORD-000041,PRD-0049,Industrial Drill,Personal Care,Logistics Pro S.A.,79.0,618.1,48829.9,MXN,2023-12-06,,Peru,Cusco,Returned,Credit Card,WH-BOG-01,1.0,9.3,,3.7
ORD-000042,PRD-0032,Laptop Pro 15,Unknown,Global Cargo Ltda,466.0,606.22,282498.52,MXN,2023-07-02,2023-07-28,Mexico,Ciudad de México,Delivered,Credit Card,WH-SCL-05,45.0,17.4,carlos.r@gmail.com,3.3
ORD-000043,PRD-0044,Coffee Maker 12cup,Food & Beverage,Andean Freightt Co.,204.0,1418.91,289457.64,MXN,2024-02-26,2024-04-11,Chile,Valparaíso,Cancelld,Credit Card,WH-SCL-05,2.0,18.0,ana.m@company.co,4.1
ORD-000044,PRD-0005,Office Chair Ergonomic,Apparel,Logistics Pro S.A.,53.0,1389.08,73621.24,USD$,2022-07-10,2022-09-04,Brasil,São Paulo,In Transit,Bank Transfer,WH-CAL-03,5.0,12.0,maria.g@company.co,2.2
ORD-000045,PRD-0040,Running Shoes M,Personal Care,FastShip Colombia,377.0,609.85,229913.45,BRL,2024-01-18,2024-02-25,Chile,Chile | Concepción | 8320000,Delivered,PayPal,WH-CAL-03,28.0,39.6,luis.p@company.co,4.6
ORD-000046,PRD-0006,Office Chair Ergonomic,Personal Care,fastship colombia,55.0,1323.045,-40728.6,COP,2024-07-01,2024-08-14,Chile,Santiago,Delivered,Bank Transfer,WH-MED-02,7.0,12.8,carlos.r@gmail.com,1.7
ORD-000047,PRD-0012,Solar Panel 250W,Apparel,FastShip Colombia,102.0,1323.045,,MXN,2022-05-09,2022-06-13,Brasil,São Paulo,Returned,Cash,WH-SCL-05,30.0,28.2,carlos.r@yahoo.com,2.5
ORD-000048,PRD-0039,Wireless Headset,Personal Care,FastShip Colombia,231.0,1214.1,280457.1,BRL,2024-04-17,2024-06-10,Mexico,Mexico | Ciudad de México | 06600,Returned,PayPal,WH-LIM-04,8.0,39.6,sofia.v@company.co,4.3
ORD-000049,PRD-0003,Protein Powder 2kg,Electronics,Pacific Trade SAS,316.0,153.1,48379.6,COP,2023-10-25,2023-12-01,Colombia,"Medellín, Colombia - CP 110111",In Transit,Bank Transfer,WH-MED-02,32.0,25.1,carlos.r@company.co,2.5
ORD-000050,PRD-0001,Mechanical Keyboard,Food & Beverage,Andean Freight Co.,425.0,2131.79,906010.75,USD,2022-04-05,2022-05-05,Mexico,Ciudad de México,In Transit,Cash,WH-CAL-03,6.0,6.6,sofia.v@yahoo.com,1.9
ORD-000051,PRD-0034,LED Strip 5m,Food and Beverage,Andean Freight Co.,413.0,347.14,143368.82,COP,2022-10-20,2022-11-29,Peru,Lima,Cancelled,PayPal,WH-BOG-01,25.0,31.6,maria.g@outlook.com,3.6
ORD-000052,PRD-0033,Safety Gloves L,Apparel,Andean Freight Co.,259.0,2098.24,,COP,2024-08-22,2024-08-24,Colombia,Bogotá,Cancelled,PayPal,WH-SCL-05,6.0,8.1,ana.m@gmail.com,2.0
ORD-000053,PRD-0008,Protein Powder 2kg,electronics,Logistics Pro S.A.,75064.0,1803.31,135363661.84,MXN,2022-08-30,,Brasil,Rio de Janeiro,Delivered,Cash,WH-MED-02,7.0,4.6,,3.0
ORD-000054,PRD-0012,Laptop Pro 15,Industrial,Global Cargo Ltda,462.0,119.59,55250.58,MXN,2023-09-29,2023-09-30,Brasil,Rio de Janeiro,Pending,PayPal,WH-SCL-05,1.0,21.7,carlos.r@outlook.com,3.0
ORD-000055,PRD-0007,Safety Gloves L,Electronics,Global Cargo Ltda,359.0,1454.02,521993.18,BRL,2022-06-03,2022-07-16,Brasil,Rio de Janeiro,Pending,Cash,WH-MED-02,10.0,12.6,maria.g@company.co,1.6
ORD-000056,PRD-0045,Bluetooth Speaker,Electronics,Andean Freight Co.,16.0,1377.55,22040.8,COP,2022-09-06,,Mexico,Guadalajara,Delivered,Cash,WH-BOG-01,9.0,32.4,carlos.r@yahoo.com,3.0
ORD-000057,PRD-0023,Safety Gloves L,Apparel,Andean Freightt Co.,246.0,502.65,123651.9,USD,2024-02-23,2024-03-29,Chile,Valparaíso,Returned,Cash,WH-SCL-05,15.0,26.3,sofia.v@gmail.com,4.9
ORD-000058,PRD-0012,Wireless Headset,Food & Beverage,Unknown,289.0,2426.12,701148.68,USD,2022-07-04,2022-07-06,Colombia,Cali,In Transit,Cash,WH-MED-02,24.0,37.7,john.d@outlook.com,4.2
ORD-000059,PRD-0012,Mechanical Keyboard,Food & Beverage,FastShip Colombia,1.0,2485.74,2485.74,MXN,2023-03-29,2023-04-30,Colombia,Medellín,Delivered,Cash,WH-MED-02,7.0,17.5,ana.m@company.co,4.3
ORD-000060,PRD-0049,LED Strip 5m,Electronics,Logistics Pro S.A.,281.0,2463.26,692176.06,BRL,2022-12-04,2022-12-08,Mexico,Guadalajara,Returned,Cash,WH-LIM-04,10.0,20.4,sofia.v@company.co,2.2
ORD-000061,PRD-0020,Running Shoes M,Personal Care,Andean Freight Co.,116.0,1742.7,202153.2,BRL,2023-04-11,2023-06-03,Chile,Valparaíso,Pending,Credit Card,WH-SCL-05,8.0,38.0,maria.g@yahoo.com,1.8
ORD-000062,PRD-0039,Coffee Maker 12cup,Electronics,Global Cargo Ltda,259.0,285.73,,USD,2022-08-05,2022-08-24,Peru,Cusco,Delivered,PayPal,WH-LIM-04,22.0,19.0,john.d@outlook.com,3.7
ORD-000063,PRD-0020,Mechanical Keyboard,Industrial,Andean Freight Co.,445.0,168.71,75075.95,USD,2022-12-22,2023-02-14,Colombia,Medellín,Cancelled,Credit Card,WH-LIM-04,31.0,6.5,sofia.v@gmail.com,3.3
ORD-000064,PRD-0042,Safety Gloves L,Electronics,Logistics Pro S.A.,115.0,2417.73,278038.95,BRL,2023-12-16,2024-01-05,Chile,Santiago,delivered,Cash,WH-CAL-03,5.0,13.0,sofia.v@outlook.com,1.2
ORD-000065,PRD-0026,LED Strip 5m,Unknown,Andean Freight Co.,418.0,1338.91,559664.38,MXN,2024-11-04,2024-12-17,Brasil,"Calle 759, São Paulo (Brasil) 01310-100",In Transit,Cash,WH-MED-02,22.0,18.6,sofia.v@gmail.com,3.7
ORD-000066,PRD-0010,Wireless Headset,Industrial,FastShip Colombia,325.0,1934.99,628871.75,USD,2022-09-23,2022-10-19,Peru,"Calle 205, Cusco (Peru) 15001",Returned,Credit Card,WH-CAL-03,33.0,33.0,sofia.v@outlook.com,5.0
ORD-000067,PRD-0011,Running Shoes M,Apparel,FastShip Colombia,328.0,2486.73,815647.44,USD,2022-04-09,2022-05-04,Brasil,São Paulo,Delivered,Credit Card,WH-SCL-05,7.0,11.3,luis.p@yahoo.com,2.4
ORD-000068,PRD-0036,Protein Powder 2kg,Apparel,Fast Ship Colombia,77.0,1810.32,139394.64,BRL,2023-08-30,2023-10-22,Brasil,Brasília,Delivered,Credit Card,WH-240,23.0,10.7,john.d@yahoo.com,4.3
ORD-000069,PRD-0027,LED Strip 5m,Electronics,Logistics Pro S.A.,93.0,2157.13,200613.09,COP,2024-09-16,2024-10-13,Colombia,Medellín,IN TRANSIT,Bank Transfer,WH-CAL-03,40.0,9.9,ana.m@yahoo.com,1.2
ORD-000070,PRD-0031,Protein Powder 2kg,Industriall,Global Cargo Ltda,121.0,224.61,27177.81,BRL,2022-02-06,2022-03-14,Colombia,Cali,Returned,PayPal,WH-BOG-01,22.0,18.9,carlos.r@gmail.com,4.3
ORD-000071,PRD-0034,Industrial Drill,Apparell,Andean Freight Co.,202.0,848.14,171324.28,USD,2024-07-11,2024-08-13,Colombia,Bogotá,Returned,Bank Transfer,WH-MED-02,39.0,15.4,maria.g@outlook.com,4.2
ORD-000072,PRD-0048,Solar Panel 250W,Personal Care,Pacific Trade SAS,364.0,1737.31,632380.84,MXN,2024-09-10,2024-10-26,Chile,Valparaíso,Delivered,Credit Card,WH-MED-02,10.0,11.8,ana.m@gmail.com,1.9
ORD-000073,PRD-0033,Mechanical Keyboard,Industrial,Global Cargo Ltda,445.0,2279.16,1014226.2,COP,2023-02-01,2023-03-17,Mexico,Ciudad de México,Returned,Bank Transfer,WH-CAL-03,3.0,2.0,sofia.v@outlook.com,4.1
ORD-000074,PRD-0012,Solar Panel 250W,Personal Care,FastShip Colombia,317.0,2452.93,33447.25,COP,2022-03-23,2022-05-21,Brasil,Rio de Janeiro,Returnned,Cash,WH-LIM-04,13.0,3.8,luis.p@gmail.com,1.9
ORD-000075,PRD-0014,Solar Panel 250W,Industrial,FastShip Colombia,92.0,572.98,52714.16,BRL,2024-06-05,2024-06-13,Chile,"Concepción, Chile - CP 8320000",Returned,Cash,WH-LIM-04,2.0,5.5,luis.p@outlook.com,4.7
ORD-000076,PRD-0024,Laptop Pro 15,Electronics,Pacific Trade SAS,177.0,360.43,63796.11,MXN,2023-02-02,2023-03-11,Peru,Lima,Delivered,PayPal,WH-MED-02,13.0,24.7,luis.p@outlook.com,2.3
ORD-000077,PRD-0042,Running Shoes M,Food & Beverage,Global Cargo Ltda,42.0,1348.85,56651.7,USD,2022-06-04,2022-07-15,Chile,Concepción,Pending,PayPal,WH-LIM-04,19.0,3.6,,3.7
ORD-000078,PRD-0011,Wireless Headset,Apparel,Global Cargo Ltda,120.0,906.32,108758.4,USD,2022-03-23,2022-08-05,Brasil,Rio de Janeiro,Cancelled,Cash,WH-BOG-01,15.0,34.7,luis.p@gmail.com,1.3
ORD-000079,PRD-0012,Wireless Headset,Apparel,Logistics Pro S.A.,427.0,1482.91,633202.57,COP,2022-04-25,2022-05-29,Chile,Concepción,Delivered,PayPal,WH-LIM-04,12.0,6.7,luis.p@gmail.com,1.8
ORD-000080,PRD-0027,Wireless Headset,Personal Care,Andean Freight co.,67.0,1323.045,,BRL,2024-12-05,2025-01-19,Mexico,Guadalajara,Returned,Credit Card,WH-MED-02,39.0,7.6,luis.p@gmail.com,4.2
ORD-000081,PRD-0028,LED Strip 5m,Personal Care,Andean Freight Co.,190.0,1446.24,274785.6,COP,2022-09-01,2022-10-16,Mexico,Guadalajara,Delivered,Credit Card,WH-LIM-04,5.0,24.4,ana.m@outlook.com,4.3
ORD-000082,PRD-0013,LED Strip 5m,Personal Care,Pacific Trade SAS,259.0,886.05,,COP,2024-11-26,,Chile,Concepción,Pending,Bank Transfer,WH-BOG-01,7.0,13.6,john.d@outlook.com,4.1
ORD-000083,PRD-0030,LED Strip 5m,Unknown,FastShip Colombia,265.0,721.79,191274.35,MXN,2022-06-05,2022-06-26,Chile,Concepción,Cancelled,Bank Transfer,WH-MED-02,40.0,4.8,ana.m@gmail.com,2.9
ORD-000084,PRD-0037,Coffee Maker 12cup,Food & Beverage,FastShip Colombia,258.0,1145.7,295590.6,MXN,2022-01-18,,Colombia,Cali,Pending,PayPal,WH-MED-02,45.0,16.0,luis.p@yahoo.com,3.2
ORD-000085,PRD-0048,Wireless Headset,Industriall,Pacific Trade SAS,440.0,154.79,68107.6,USD,2024-07-10,2024-08-03,Brasil,Rio de Janeiro,Returned,Bank Transfer,WH-CAL-03,29.0,11.5,maria.g@outlook.com,4.6
ORD-000086,PRD-0021,Industrial Drill,Industrial,Global Cargo Ltda,438.0,1323.045,-119118.48,USD,2023-03-08,2023-03-13,Colombia,"Medellín, Colombia - CP 110111",Delivered,PayPal,WH-CAL-03,34.0,26.5,ana.m@company.co,2.8
ORD-000087,PRD-0012,Bluetooth Speaker,Personal Care,Pacific Trade SAS,227.0,31.34,7114.18,COP,2023-12-06,2024-01-20,Brasil,"Calle 818, Rio de Janeiro (Brasil) 01310-100",Returned,PayPal,WH-MED-02,25.0,3.2,luis.p@outlook.com,2.7
ORD-000088,PRD-0019,Office Chair Ergonomic,Personal Care,FastShip Colombia,138.0,1323.045,,USD,2024-10-07,2024-11-27,Peru,Lima,In Transit,PayPal,WH-MED-02,25.0,30.7,ana.m@yahoo.com,4.1
ORD-000089,PRD-0031,Running Shoes M,Electronics,Logistics Pro S.A.,443.0,1088.23,39719.73,BRL,2023-05-13,2023-11-05,Peru,Lima,In Transit,Cash,WH-BOG-01,45.0,19.5,sofia.v@outlook.com,3.8
ORD-000090,PRD-0003,Protein Powder 2kg,Industrial,Global Cargo Ltda,441.0,742.7,327530.7,USD,2024-11-02,2024-11-04,Chile,Concepción,Returnned,Bank Transfer,WH-SCL-05,27.0,20.9,maria.g@yahoo.com,1.4
ORD-000091,PRD-0043,Protein Powder 2kg,Food & Beverage,Logistics Pro S.A.,41.0,1859.98,76259.18,USD,2023-06-29,2023-08-22,Mexico,Ciudad de México,Cancelled,Bank Transfer,WH-SCL-05,7.0,27.0,carlos.r@yahoo.com,3.6
ORD-000092,PRD-0023,Industrial Drill,Industrial,Global Cargo Ltda,475.0,2399.76,1734.11,USD,2024-11-26,2024-11-27,Mexico,Ciudad de México,Pending,Bank Transfer,WH-MED-02,38.0,12.0,maria.g@gmail.com,4.3
ORD-000093,PRD-0007,Bluetooth Speaker,APPAREL,Logistics Pro S.A.,477.0,1633.68,779265.36,usd,2022-04-21,2022-05-26,Brasil,São Paulo,Cancelled,Credit Card,WH-LIM-04,31.0,16.0,sofia.v@yahoo.com,2.6
ORD-000094,PRD-0048,Solar Panel 250W,APPAREL,Pacific Trade SAS,165.0,427.29,70502.85,BRL,2022-10-26,,Brasil,Brasília,Delivered,Bank Transfer,WH-BOG-01,20.0,8.4,luis.p@outlook.com,3.8
ORD-000095,PRD-0043,Solar Panel 250W,Personal Care,Logistics Pro S.A.,185.0,880668.53,162923678.05,BRL,2024-11-07,2024-11-28,Chile,Santiago/Chile/8320000,Delivered,Cash,WH-MED-02,-5.0,39.8,carlos.r@outlook.com,1.1
ORD-000096,PRD-0010,Industrial Drill,Industrial,FastShip Colombia,310.0,350.75,108732.5,COP,2023-09-25,2023-11-23,Mexico,Monterrey,Returned,Credit Card,WH-MED-02,27.0,29.8,sofia.v@outlook.com,1.1
ORD-000097,PRD-0039,Bluetooth Speaker,Electronics,Andean Freight Co.,95.0,487.18,38227.18,USD$,2024-04-25,2024-05-08,Mexico,Guadalajara,Pending,Bank Transfer,WH-SCL-05,21.0,22.9,sofia.v@gmail.com,1.2
ORD-000098,PRD-0026,Mechanical Keyboard,Electronics,Global Cargo Ltda,471.0,2075.58,977598.18,USD,2023-01-04,2023-02-18,Peru,Arequipa,Cancelld,Bank Transfer,WH-CAL-03,11.0,4.6,luis.p@company.co,1.6
ORD-000099,PRD-0000,Industrial Drill,Apparel,Andean Freight Co.,93.0,1558.29,144920.97,BRL,2022-01-12,2022-01-26,Peru,Arequipa,Returnned,Unknown,WH-SCL-05,12.0,1.5,luis.p@outlook.com,5.0
ORD-000100,PRD-0043,Mechanical Keyboard,Industrial,Logistics Pro S.A.,35.0,1179.69,41289.15,MXN,2024-12-15,2024-12-29,Colombia,Cali,Returned,Cash,WH-CAL-03,23.0,19.9,maria.g@yahoo.com,3.0
ORD-000101,PRD-0048,Safety Gloves L,Food & Beverage,FastShip Colombia,158.0,289.02,45665.16,USD,2022-12-26,2023-02-24,Peru,Cusco,Cancelled,Cash,WH-BOG-01,44.0,8.3,john.d@gmail.com,4.9
ORD-000101,PRD-0037,Bluetooth Speaker,Food & Beverage,Logistics Pro S.A.,425.0,285.02,121133.5,USD,2024-06-27,2024-08-24,Mexico,Guadalajara,Pending,Credit Card,WH-MED-02,25.0,0.2,luis.p@gmail.com,4.1
ORD-000102,PROD-001,LED Strip 5m,Food & Beverage,Logistics Pro S.A.,287.0,799.62,229490.94,MXN,2023-05-17,2023-07-14,Peru,"Lima, Peru - CP 15001",Cancelled,PayPal,WH-MED-02,35.0,30.6,sofia.v@company.co,4.1
ORD-000103,PRD-0010,Bluetooth Speaker,Food & Beverage,Andean Freight Co.,434.0,322.85,140116.9,USD,2023-10-30,2023-11-19,Peru,Lima,Cancelled,Cash,WH-LIM-04,22.0,26.5,luis.p@company.co,1.4
ORD-000104,PRD-0026,Office Chair Ergonomic,Industrial,Logistics Pro S.A.,326.0,1135.17,370065.42,BRL,2023-02-05,2023-02-25,Brasil,Rio de Janeiro,Delivered,PayPal,WH-BOG-01,4.0,20.4,john.d@gmail.com,2.3
ORD-000105,PRD-0035,Safety Gloves L,Industrial,Andean Freight Co.,37.0,1646.53,60921.61,COP,2024-05-01,2024-06-15,Chile,Concepción,Cancelled,Bank Transfer,Unknown,33.0,23.1,,3.9
ORD-000106,PRD-0049,Coffee Maker 12cup,Personal Care,Global Cargo Ltda.,351.0,136.67,47971.17,BRL,2024-07-18,2024-09-03,Brasil,Rio de Janeiro,Returned,Cash,WH-MED-02,19.0,11.5,john.d@outlook.com,1.1
ORD-000107,PRD-0038,Mechanical Keyboard,Food & Beverage,FastShip Colombia,75.0,1883.14,141235.5,BRL,2022-12-09,2023-01-01,Brasil,São Paulo,Cancelld,Cash,WH-SCL-05,25.0,34.8,,3.5
ORD-000108,PRD-0042,Coffee Maker 12cup,Personal Care,FastShip Colombia,354.0,1323.045,,US Dollar,2022-01-25,2022-03-10,Mexico,Guadalajara,Delivered,Bank Transfer,WH-BOG-01,25.0,22.6,sofia.v@yahoo.com,3.6
